"crs_name","crs_id"
"AA47SI","217539"
"AA93","217689"
"AA100","103093"
"AA115N","204295"
"AA116Q","211087"
"AA190","103109"
"AA199","103112"
"AA200","210419"
"AA201A","103118"
"AA201B","103119"
"AA203","213662"
"AA206","203338"
"AA208","103129"
"AA210A","103131"
"AA210B","103132"
"AA212","213888"
"AA214A","217274"
"AA214B","103141"
"AA214C","103142"
"AA215A","103144"
"AA215B","103145"
"AA218","103151"
"AA222","103156"
"AA228","215840"
"AA229","215991"
"AA236A","103173"
"AA236B","103174"
"AA236C","103175"
"AA240A","103181"
"AA240B","103182"
"AA241A","103184"
"AA241B","103185"
"AA241X","201250"
"AA242A","104933"
"AA242B","210623"
"AA244A","213685"
"AA244B","213686"
"AA250","216268"
"AA251","211268"
"AA252","103204"
"AA256","103206"
"AA257","103208"
"AA260","208723"
"AA270","216240"
"AA271A","103211"
"AA271B","216245"
"AA272C","103217"
"AA272D","103218"
"AA273","217926"
"AA277","217669"
"AA279A","103231"
"AA279B","214989"
"AA280","213987"
"AA283","103238"
"AA284A","203841"
"AA284B","204280"
"AA284C","204533"
"AA290","103244"
"AA291","103245"
"AA294","203681"
"AA295","208293"
"AA297","103253"
"AA300","103259"
"AA301","103260"
"AA801","103262"
"AA802","103263"
"AA118N","218156"
"AA119N","218157"
"AA120Q","218158"
"AA121Q","218148"
"AA122N","218159"
"AA274","218545"
"AA279C","216245"
"AA279D","216240"
"AA108N","219612"
"AA109Q","219623"
"AA141","219511"
"AA248E","216462"
"AA289","220012"
"AA102","220404"
"AA103","220320"
"AA131","220480"
"AA135","221064"
"AA149","220421"
"AA151","220486"
"AA156","220445"
"AA240","103181"
"AA261","221139"
"AA115Q","204295"
"AA136A","103173"
"AA136B","103174"
"AA146A","221549"
"AA146B","221550"
"AA173","221546"
"AA174A","218545"
"AA174B","221536"
"AA204","222078"
"AA214","103141"
"AA274A","218545"
"AA274B","221536"
"AA290S","222356"
"AA113","222638"
"AA205","222794"
"AA216","211927"
"AA246X","221550"
"AA272","103217"
"AA275","222698"
"AA172","223453"
"ACCT210","100734"
"ACCT212","201624"
"ACCT213","205579"
"ACCT219","100740"
"ACCT311","100861"
"ACCT312","100864"
"ACCT313","207785"
"ACCT317","207976"
"ACCT332","210033"
"ACCT333","216572"
"ACCT340","210147"
"ACCT354","210318"
"ACCT506","214660"
"ACCT516","207840"
"ACCT523","213470"
"ACCT533","214813"
"ACCT554","208567"
"ACCT609","202649"
"ACCT610","101305"
"ACCT611","101308"
"ACCT612","101311"
"ACCT615","211759"
"ACCT617","208031"
"ACCT618","216503"
"ACCT691","101403"
"ACCT692","101406"
"ACCT698","217374"
"ACCT699","217381"
"ACCT802","101410"
"ACCT524","218629"
"ACCT610","218932"
"ACCT542","219724"
"ACCT152","220937"
"ACCT220","223846"
"AFRICAAM8","217490"
"AFRICAAM16N","210895"
"AFRICAAM18A","121682"
"AFRICAAM18B","121683"
"AFRICAAM19","209321"
"AFRICAAM20A","121686"
"AFRICAAM21","120610"
"AFRICAAM24","215572"
"AFRICAAM28","217008"
"AFRICAAM30","112356"
"AFRICAAM31","215094"
"AFRICAAM32","215203"
"AFRICAAM36","216638"
"AFRICAAM37","210637"
"AFRICAAM40","208923"
"AFRICAAM40SI","210678"
"AFRICAAM41","216607"
"AFRICAAM43","113936"
"AFRICAAM45","125330"
"AFRICAAM47","209829"
"AFRICAAM48Q","114932"
"AFRICAAM50B","209907"
"AFRICAAM52","217569"
"AFRICAAM52N","216938"
"AFRICAAM54N","208718"
"AFRICAAM54Q","216832"
"AFRICAAM64C","209833"
"AFRICAAM75E","208336"
"AFRICAAM87","215860"
"AFRICAAM100","217477"
"AFRICAAM101F","214155"
"AFRICAAM102","206748"
"AFRICAAM103","206382"
"AFRICAAM105","125826"
"AFRICAAM106","208141"
"AFRICAAM107C","210941"
"AFRICAAM111","140867"
"AFRICAAM112","201446"
"AFRICAAM115","215256"
"AFRICAAM116","209431"
"AFRICAAM118","217997"
"AFRICAAM121X","210747"
"AFRICAAM122E","213739"
"AFRICAAM123","206984"
"AFRICAAM125V","208571"
"AFRICAAM126B","216081"
"AFRICAAM127A","213713"
"AFRICAAM130","101932"
"AFRICAAM131","215273"
"AFRICAAM132","201134"
"AFRICAAM133","213802"
"AFRICAAM145A","201898"
"AFRICAAM145B","115149"
"AFRICAAM146A","215728"
"AFRICAAM147","209828"
"AFRICAAM148","214694"
"AFRICAAM150B","115191"
"AFRICAAM152G","203154"
"AFRICAAM154","214961"
"AFRICAAM156","214718"
"AFRICAAM157P","216687"
"AFRICAAM158","216315"
"AFRICAAM159","216727"
"AFRICAAM165","216656"
"AFRICAAM166","115156"
"AFRICAAM176B","217502"
"AFRICAAM181Q","215989"
"AFRICAAM188","217607"
"AFRICAAM189","217779"
"AFRICAAM190","125932"
"AFRICAAM192","115530"
"AFRICAAM194","217623"
"AFRICAAM195","213981"
"AFRICAAM199","205100"
"AFRICAAM200X","210413"
"AFRICAAM200Y","210414"
"AFRICAAM200Z","210415"
"AFRICAAM201F","214155"
"AFRICAAM223","216408"
"AFRICAAM226","215726"
"AFRICAAM229","215137"
"AFRICAAM233A","101684"
"AFRICAAM245","202045"
"AFRICAAM254D","215714"
"AFRICAAM261E","210917"
"AFRICAAM262C","210908"
